,job_id,title,description,company_name
0,85008768,Licensed Insurance Agent,"While many industries were hurt by the last few years, people still need insurance! This position is an amazing opportunity for someone who wants a career in the insurance industry. Successful agents have the opportunity to grow and develop skills that position them for Leadership Roles or even Agency Ownership in the future!
I’m Sonia Sullivan-Aery and, for almost eight years, I’ve had an incredibly rewarding career with Allstate Insurance. My team and I have helped thousands of families across California, and now we need one more outstanding agent to join our team!
Here’s what I’m looking for:Someone with a POSITIVE & SUPPORTIVE mindsetA TEAM PLAYERSomeone who is SELF-DRIVENSomeone who is CUSTOMER-FOCUSED and genuinely wants to help peopleAnd finally, someone who is COACHABLE
Here’s what you can expect from me:
I offer a very competitive base salary, PLUS commissions, PLUS bonuses, AND benefits including health, dental, vision, an IRA match, and much more!
Entry Level: $19/hr with huge opportunities for development!
Insurance is extremely rewarding – it’s a career that is inflation-proof, recession-proof, and is always changing and provides so many opportunities to grow and learn!
My philosophy as an employer is that I do my best to take excellent care of my team, so they can take excellent care of our clients. My team receives outstanding training and support, with every resource they need to be successful.
HUGE BONUS POINTS IF YOU SPEAK SPANISH!
Will you be my next team member!? Apply today and let's connect!
Job Type: Full-time
Pay: $19.00 - $22.00 per hour
Benefits:401(k)401(k) matchingDental insuranceHealth insurancePaid time offParental leaveVision insuranceSupplemental pay types:Bonus payCommission payWeekly day range:Monday to FridayWork setting:In-personOfficeWork Location: In person",
1,133114754,Sales Manager,"Are you a dynamic and creative marketing professional looking to make a significant impact in the world of freight and logistics? We are seeking a talented Marketing Manager to join our team and drive our marketing initiatives to new heights. If you're passionate about shaping brand narratives, developing strategic campaigns, and thrive in a fast-paced environment, we want to hear from you!Key Responsibilities:Develop and execute comprehensive marketing strategies to enhance brand visibility and promote our freight and logistics services.Lead a team of marketing specialists, fostering collaboration and guiding their efforts towards achieving set goals.Analyze market trends, customer behavior, and competitor activity to identify growth opportunities and refine strategies.Manage the company's online presence, optimizing the website and social media channels for maximum engagement and conversions.Plan and oversee participation in industry events, conferences, and trade shows to showcase our services and network with potential clients.Measure and report on the performance of marketing campaigns, using data-driven insights to continuously improve strategies.Qualifications:Bachelor's degree in Marketing, Business, or a related field (Master's preferred).Proven experience (5+ years) in marketing, preferably within the freight and logistics industry or a related B2B field.Strong Customer Base and Running Business.Strong understanding of digital marketing tactics, including SEO, SEM, social media, and content marketing.Analytical mindset with proficiency in data analysis tools to drive informed marketing decisions.Excellent communication skills, both written and verbal, to craft compelling narratives and collaborate across teams.Ability to thrive in a fast-paced, ever-changing environment and adapt to industry shifts.Strong organizational skills and attention to detail, ensuring the flawless execution of marketing campaigns.Why Join Us:Opportunity to play a pivotal role in shaping the marketing strategies of a leading player in the freight and logistics industry.A collaborative and inclusive work environment that values innovation and continuous improvement.Competitive salary and benefits package.Room for growth and career advancement based on performance and results.Chance to work with a diverse team of professionals who are passionate about making a difference.If you're ready to take on a rewarding challenge in the world of freight and logistics marketing, we want to hear from you! Send your resume and a cover letter outlining your relevant experience to mitch@cargo-login.com. Join us in driving our brand forward and revolutionizing the way we approach marketing in this dynamic industry.",CargoLogin.
2,133196985,Model Risk Auditor,"Join Us as a Model Risk Auditor – Showcase Your Financial Services Auditing Expertise!Are you an experienced financial services auditor with a passion for unraveling complexities? We're on the lookout for a Model Risk Auditor to join us and elevate our model risk management practices.
Position Highlights:Location: New York, NY (Hybrid work arrangement)Duration: Approximately 10 weeks (3 months)Daily Rate: Competitive rate based on industry research
Position Summary:As a Model Risk Auditor, you will be an integral part of our Model Risk Management (MRM) audit assignment. You will work closely with our Internal Audit team, following our established methodology to assess and evaluate the effectiveness of our model risk management framework. This includes areas such as Model Governance, Policies and Procedures, and key processes and controls in accordance with regulatory guidelines (SR 11-7).
Key Responsibilities:Collaborate with the lead auditor to plan and execute the MRM audit assignment.Assess the Branch's model risk management framework, evaluating its conceptual soundness and compliance with regulatory standards.Document work papers using standardized templates provided by the Internal Audit team.Identify and document model risk audit findings, substantiating them with relevant facts and evidence.Develop recommendations that address the root causes of identified issues.Provide regular project status updates to both the auditee and Internal Audit management.
Qualifications & Skills:Previous experience in auditing within the financial services sector is essential.Preference will be given to candidates with experience in risk modeling and familiarity with SR 11-7 supervisory guidance.Strong documentation skills, with the ability to create well-structured work papers and reports.Excellent analytical and problem-solving abilities.Effective communication skills to interact with various stakeholders and present findings clearly..

",Employvision Inc.
3,381055942,Business Manager,"Business ManagerFirst Baptist Church ForneyForney, Texas Reports to: Executive Pastor  Job Overview: The Business Manager maintains accurate accounting records, provides financial reports, and meets the human resource needs of the church.
Major Duties and Responsibilities:
Financial Responsibilities· Perform month end duties, which includes reconciliation of all bank accounts and credit cards, and month end journal entries· Collect and record all invoices and check requests into accounting software· Disburse all signed checks· Review and approve expenses on church credit cards· Manage and pay all church credit cards· Collect, record, and deposit Sunday offering for FBC Forney and FBCF En Español congregation· Record all online giving in accounting software· Record and deposit non-giving related income received from fitness center, day care, and coffee shop
Human Resources· Perform payroll duties semi-monthly· Record payroll and employee benefit data as needed· Onboard new employees for all departments of the church
General Duties:· Provide financial reports as needed · Maintain vendor files· Maintain personnel files of church staff· Maintain accurate accounting records· Provide ministries with monthly reports showing budget vs actuals · Prepare and distribute church member’s annual giving statements· Perform other duties and assignments as requested by the Executive Pastor.
Qualifications:· High School Diploma or GED required· Bachelor's degree in Accounting, Finance, or related field and relevant work experience preferred· Thorough knowledge and understanding of GAAP· Strong communication and interpersonal skills, with the ability to work collaboratively with staff and leadership· Proficient skills in QuickBooks and Microsoft Excel· Experience with accounts payable, accounts receivable, payroll, and general ledger· High degree of accuracy and attention to detail· Ability to work independently and meet deadlines in a fast-paced environment· High ethical standards and integrity in handling financial information· Be a Christian of high moral character Systems Used:· QuickBooks Online· Microsoft Excel· Google Sheets· Rock RMS",First Baptist Church Forney
4,529257371,NY Studio Assistant,"YOU COULD BE ONE OF THE MAGIC MAKERS
Ken Fulk Inc. is seeking a Studio Assistant with a minimum of 2 years experience working as an administrative assistant for our New York studio.
REQUIREMENTS:
• Provide administrative support to the design team• Oversee planning and logistics associated with events and meetings• Manage and receive daily mail/deliveries/couriers• Serve as liaison for industry vendors and consultants• Greet, welcome, and provide hospitality to guests• Maintain studio organization, aesthetic, and cleanliness• Manage office opening and closing procedures daily• Maintain material library and work spaces• Strong verbal and written communications skills
QUALIFICATIONS:
• Bachelor’s Degree required• A minimum of two years of experience working as an administrative assistant required• Experience in the design or arts industry is preferred• Proficiency in Google Suite and Microsoft Office• Experience with Adobe InDesign• Articulate and polished written, verbal, and interpersonal communication skills• A keen eye and strong attention to detail• Organized with excellent follow-through skills• Able to work independently and also in a team environment• Able to multitask effectively and efficiently in a fast-paced environment• Proactive, resourceful, reliable, positive, and solution-minded individual• Demonstrated ability to quickly learn and master new software applications
Position is full time and based in New York. Compensation based on experience. 
Ken Fulk Inc. offers health insurance, dental insurance option, vision insurance option, life insurance, pet insurance option, employee assistance program (Counseling & Support Resources), paid holiday Bbeak (Christmas Eve – New Years Day), 13 paid holidays, and matching 401k (5%).
Please send cover letter and resume by e-mail in PDF format no larger than 10MB total to work@kenfulk.com with “NY Studio Assistant” in the subject line.
",Ken Fulk Inc
5,903408693,Office Associate,"Provide clerical and administrative support to management as requestedAnswer phone calls and perform higher-level data entry relating to Customer ServiceProcess larger, more complicated customer orders and complaints and follow-up when necessaryProcess customer accounts and file documentsFollow communication procedures, guidelines, and policies, taking the extra mile to engage larger, more complex customersProvide accurate and timely information including product costs and standard costs for new productsAnalyze manufacturing processes in coordination with Plant Managers to improve decision-makingAlign projects with various accounting and customer experience needsOther duties as needed
",Sunnyland Farms
6,967848246,Education Manager,"Company Snapshot Headquartered in North Miami, Paradigm Senior Services simplifies and streamlines operations for home care providers. By serving as a full back-office solution for home care providers, we support them in being able to focus their efforts on caring for their clients. Our team and service offerings are growing in a fast-paced environment. Paradigm Senior Services is an equal-opportunity employer. Job Summary The Manager of Education will serve as the program coordinator, trainer, and educational resource for all our existing customers. The ideal candidate will be passionate about developing creative and engaging training materials, thrives in a collaborative environment, constantly strives to improve learning and training materials, possesses a deep understanding of the Home Care industry, has a strong ability to conceptualize and develop training tools (videos, digital learning, training programs) for customers. This role will function as the liaison between franchise brands in the Home Care industry to deliver learning and development requirements to the brand. You will lead all Learning and Education initiatives to achieve the department and organization’s strategic and operational goals. Responsible for developing instructional strategies, course material, content course creation and assessment techniques. Reporting directly to the VP of Business Development, the Manager of Education will play a critical role in the growth and success of Paradigm Senior Services. Essential Duties & Responsibilities Develop comprehensive educational content and materials tailored to the specific needs of home care industry customers, ensuring alignment with industry best practices. Collaborate with cross-functional teams to curate content to meet training needs and learning objectives. Use adult learning principles for curricula, effective instructional design, and learning and training best practices in course material creation. Create, curate, and update course content within the Learning Management System (LMS), ensuring it is organized, accessible, and up to date for customers. Maintain and promote an organization-wide learning model. Prepare and host interactive webinars, workshops, and education sessions for Franchise Networks, providing expert insights, sharing industry trends, and facilitating Q&A sessions. Collaborate with subject matter experts, industry professionals, and internal stakeholders to stay current with industry developments and incorporate the latest information into training materials. Monitor and report on the progress and participation of Franchise Network providers in educational programs, tracking their development and identifying areas for improvement. Oversee LMS administration including licensing and procurement of all educational technology tools. Manage development of all processes related to use of the LMS. Audit and monitor data integrity. High degree of autonomy. Strategic and critical thinker with the ability to manage multiple priorities for multiple customers and meet deliverables on time, every time. Document all customer interactions and maintain an active list of strategic learning objectives for every customer utilizing Zoho CRM. Responsible for ongoing customer communication (announcements, upcoming service features, events, etc.). Qualifications Bachelor’s degree in education, business, healthcare or related field. A minimum of 3 years of experience in the Home Care Industry, with a deep understanding of industry trends, best practices, and regulations. Demonstrated ability to lead and manage training workshops required. Strong organizational skills with meticulous attention to detail. Strong project management skills, including the ability to coordinate workflow, determine priorities, meet deadlines, and effectively balance competing demands. Knowledge of instructional design methodology and adult learning concepts, principles, and practices with experience applying this knowledge to adult learners. Excellent written, oral, and interpersonal communication skills with the proven ability to prepare quality and accurate documentation. Quick learner and a self-starter; must thrive in a fast-paced, dynamic environment. Strong interpersonal skills, with an ability to professionally interact with a diverse blend of personalities to maintain strong relationships. Ability to demonstrate a positive attitude, energy, and effort consistently. Proficient in Microsoft Office, PowerPoint/Canva and CRM software. Innovative mindset, keeping up to date with emerging trends in adult education and eLearning. Strong analytical and problem-solving abilities, with the capacity to measure the impact and success of educational initiatives. Ability to work independently and as part of a team. Travel may be required to conduct on-site training sessions. Compensation $65,000-$80,000 base salary depending on experience Paradigm Benefits and Perks Medical, dental, and vision benefits Paid time off 401k retirement plan On-site position in Miami, FL with hybrid remote work opportunities available Support for professional growth and development   ",Paradigm Senior Services
7,1004740969,Civil Engineer,"We are a growing and successful Structural Engineering Design Firm Seeking an Entry Level candidate for a full time Auto CAD Designer / Drafter position. Experience is a plus.
We are in need of someone that learns quickly, is detail oriented, and has great time management skills. Someone who is looking to constantly learn and grow within the company, stays on task, and is proactive.
Knowledge in wood framing design, wind lateral design, or material take-off is a plus. However, if you are proficient in either Auto CAD or REVIT we will/can provide on the job training.
Required skills- MS Office proficiency- Auto Cad
Additional skills that are a plus, but not required- Any structural experience- Revit- Familiarity with architectural floor plans
Benefits- Medical + vision Benefits- Life insurance- Paid holiday and vacation
Pay is based on experience","Eric L. Davis Engineering, Inc."
8,1029078768,Registered Nurse (RN) Vaccinator,"United Staffing Solutions is partnering with one of the biggest COVID vaccination clinics in the East Coast! We are currently hiring Registered Nurses (RN) to work as COVID vaccinators for either part-time or per diem. 
Job Details:Must be a licensed Registered Nurse in the state of MichiganHeadquarters - Muskegon, MichiganTraveling is required (vehicle will be provided by the company; travel hours are paid)Pay is $50/hourNo vaccination experience needed
Limited slots only! If interested, please respond to this job post or you can directly reach out to me at shannel@unitedstaffing.com.",United Staffing Solutions (USS)
9,1053342128,Company Owner,"HVAC & Refrigeration technicians and helpers needed.Looking for someone that has experience in heating and ac work. Must be familiar with freon gauges, voltage meter and have basic problem-solving skills.",
